studentnum,course.id,ctar_q1_1,ctar_q2_1,ctar_q3_1,ctar_q4_1,ctar_q5_1,ctar_q6_1,ctar_q7_1,ctar_q8_1,ctar_q9_1,ctar_q10_1,ctar_q11_1,ctar_q12_1,ctar_q13_1,ctar_q14_1,ctar_q15_1,ctar_q16_1,ctar_q17_1,gender,class
946,GC1_A_2017_4,Only somewhat typical of me,Quite typical of me,Quite typical of me,Very typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Male,Freshman
947,GC1_C_2017_1,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Female,Junior
949,GC1_B_2016_4,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Very typical of me,Female,Freshman
950,GC1_A_2016_4,Quite typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Male,Freshman
952,GC1_C_2017_1,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Male,Freshman
953,GC1_A_2016_4,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Male,Freshman
956,GC1_A_2016_4,Only somewhat typical of me,Very typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Male,Freshman
957,GC1_A_2017_2,Not at all typical of me,Quite typical of me,Very typical of me,Very typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Female,Junior
959,GC1_B_2016_4,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Male,Freshman
960,GC1_B_2016_4,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Male,Freshman
962,GC1_B_2016_4,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Female,Freshman
963,GC1_A_2016_4,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Male,Freshman
968,GC1_A_2016_4,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Male,Freshman
973,GC1_A_2016_4,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Very typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
974,GC1_C_2018_1,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Female,Junior
976,GC1_C_2017_1,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Female,Freshman
977,GC1_C_2017_1,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Female,Freshman
978,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Female,Sophomore
979,GC1_A_2016_4,Only somewhat typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Female,Freshman
980,GC1_A_2016_4,Not at all typical of me,Very typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Male,Freshman
981,GC1_B_2016_4,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Female,Freshman
982,GC1_D_2017_1,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Male,Freshman
983,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Male,Freshman
986,GC1_B_2016_4,Quite typical of me,Very typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
995,GC1_C_2017_1,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Male,Freshman
996,GC1_C_2018_1,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Male,Sophomore
998,GC1_A_2016_4,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Not at all typical of me,Very typical of me,Quite typical of me,Female,Freshman
999,GC1_C_2018_1,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Female,Sophomore
1001,GC1_B_2017_4,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Male,Junior
1002,GC1_A_2016_4,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Female,Freshman
1004,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Female,Freshman
1006,GC1_C_2017_1,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Female,Freshman
1008,GC1_D_2017_1,Very typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Male,Sophomore
1011,GC1_A_2017_2,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Female,Sophomore
1012,GC1_A_2017_2,Only somewhat typical of me,Not at all typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Female,Sophomore
1013,GC1_B_2016_4,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Male,Freshman
1015,GC1_C_2018_1,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Female,Sophomore
1021,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
1023,GC1_A_2016_4,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Female,Freshman
1024,GC1_A_2016_4,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Male,Freshman
1026,GC1_A_2017_2,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Female,Sophomore
1028,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Female,Freshman
1030,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Male,Freshman
1031,GC1_B_2016_4,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Male,Freshman
1033,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Male,Freshman
1034,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Female,Freshman
1035,GC1_C_2017_1,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Very typical of me,Female,Freshman
1036,GC1_B_2016_4,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1038,GC1_A_2016_4,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
1040,GC1_B_2017_4,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Male,Freshman
1043,GC1_A_2016_4,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Male,Freshman
1044,GC1_A_2017_2,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Female,Freshman
1046,GC1_A_2016_4,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Male,Freshman
1050,GC1_A_2018_2,Quite typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Male,Junior
1052,GC1_B_2016_4,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1054,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1056,GC1_B_2016_4,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Male,Freshman
1060,GC1_B_2016_4,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1062,GC1_B_2016_4,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1067,GC1_A_2016_4,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1071,GC1_A_2016_4,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Female,Freshman
1073,GC1_B_2016_4,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Male,Freshman
1075,GC1_A_2017_2,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Female,Junior
1076,GC1_C_2017_1,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Male,Sophomore
1079,GC1_A_2016_4,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Male,Freshman
1083,GC1_B_2016_4,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
1085,GC1_B_2016_4,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Very typical of me,Not at all typical of me,Quite typical of me,Male,Freshman
1087,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1088,GC1_C_2017_1,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Male,Sophomore
1090,GC1_A_2017_4,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Only somewhat typical of me,Female,Junior
1091,GC1_B_2016_4,Very typical of me,Quite typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Female,Freshman
1092,GC1_B_2016_4,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Female,Freshman
1093,GC1_B_2016_4,Only somewhat typical of me,Very typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1094,GC1_B_2016_4,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1101,GC1_A_2016_4,Quite typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Very typical of me,Female,Freshman
1102,GC1_B_2016_4,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
1111,GC1_A_2017_2,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Not at all typical of me,Very typical of me,Male,Freshman
